timestamp;price;volume
"2013-06-24 17:00:00";102.08999633789062;0
"2013-07-01 17:00:00";88.05000305175781;0
"2013-07-08 17:00:00";76;0
"2013-07-15 17:00:00";98.89029693603516;0
"2013-07-22 17:00:00";91.5999984741211;0
"2013-07-29 17:00:00";101.48899841308594;0
"2013-08-05 17:00:00";106.72000122070312;0
"2013-08-12 17:00:00";106.98999786376953;0
"2013-08-19 17:00:00";119;0
"2013-08-26 17:00:00";120.06999969482422;0
"2013-09-02 17:00:00";135.61000061035156;0
"2013-09-09 17:00:00";127.2699966430664;0
"2013-09-16 17:00:00";131.58999633789062;0
"2013-09-23 17:00:00";126.05000305175781;0
"2013-09-30 17:00:00";132.67999267578125;0
"2013-10-07 17:00:00";126.73999786376953;0
"2013-10-14 17:00:00";140.77000427246094;0
"2013-10-21 17:00:00";182.64999389648438;0
"2013-10-28 17:00:00";198.5500030517578;0
"2013-11-04 16:00:00";229.2100067138672;0
"2013-11-11 16:00:00";343.05999755859375;0
"2013-11-18 16:00:00";712.760009765625;0
"2013-11-25 16:00:00";805.72998046875;0
"2013-12-02 16:00:00";1046.4000244140625;0
"2013-12-09 16:00:00";892.3200073242188;0
"2013-12-16 16:00:00";706.3699951171875;0
"2013-12-23 16:00:00";672.3599853515625;0
"2013-12-30 16:00:00";760.3200073242188;20897300
"2014-01-06 16:00:00";946.489990234375;81311696
"2014-01-13 16:00:00";843.1699829101562;20829800
"2014-01-20 16:00:00";869.6500244140625;18997300
"2014-01-27 16:00:00";774.02001953125;44875500
"2014-02-03 16:00:00";823.77001953125;16609700
"2014-02-10 16:00:00";683.5;72745200
"2014-02-17 16:00:00";627.1599731445312;20015100
"2014-02-24 16:00:00";540.239990234375;126314000
"2014-03-03 16:00:00";668.239990234375;55344600
"2014-03-10 17:00:00";627.9500122070312;11732500
"2014-03-17 17:00:00";621.8380126953125;24011500
"2014-03-24 17:00:00";585.0260009765625;14020100
"2014-03-31 17:00:00";457;35685800
"2014-04-07 17:00:00";447.6130065917969;10921600
"2014-04-14 17:00:00";458.37298583984375;49561000
"2014-04-21 17:00:00";495.4549865722656;11670900
